X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
320711,671654,2483608,Saughton Mains Park,WS: Food Waste Communal,320711,671654,,7903228,2,240
320617,671688,2483609,Saughton Mains Park,WS: Food Waste Communal,320617,671688,,7903228,1,240
320653,671617,2483610,Saughton Mains Park,WS: Food Waste Communal,320653,671617,,7903228,1,240
320599,671609,2483611,Saughton Mains Park,WS: Food Waste Communal,320599,671609,,7903228,1,240
320566,671654,2483612,Saughton Mains Park,WS: Food Waste Communal,320566,671654,,7903228,1,240
323723,669031,2483613,Well Spring Close,WS: Bottle Bank - Mixed,323723,669031,,7906689,1,360
323723,669031,2483614,Well Spring Close,WS: Food Waste Communal,323723,669031,,7906689,1,500
323723,669031,2483615,Well Spring Close,WS: Packaging,323723,669031,,7906689,2,1280
323723,669031,2483616,Well Spring Close,WS: Communal Bin,323723,669031,,7906689,2,1280
323742,669048,2483617,Well Spring Close,WS: Bottle Bank - Mixed,323742,669048,,7906689,1,360
323742,669048,2483618,Well Spring Close,WS: Food Waste Communal,323742,669048,,7906689,1,240
323742,669048,2483619,Well Spring Close,WS: Packaging,323742,669048,,7906689,2,1280
323742,669048,2483620,Well Spring Close,WS: Communal Bin,323742,669048,,7906689,1,1280
323753,669037,2483621,Well Spring Close,WS: Bottle Bank - Mixed,323753,669037,,7906689,1,360
323753,669037,2483622,Well Spring Close,WS: Food Waste Communal,323753,669037,,7906689,1,500
323753,669037,2483623,Well Spring Close,WS: Packaging,323753,669037,,7906689,1,1280
323753,669037,2483624,Well Spring Close,WS: Communal Bin,323753,669037,,7906689,2,1280
323730,669018,2483625,Well Spring Close,WS: Bottle Bank - Mixed,323730,669018,,7906689,1,360
323730,669018,2483626,Well Spring Close,WS: Food Waste Communal,323730,669018,,7906689,1,240
323730,669018,2483627,Well Spring Close,WS: Packaging,323730,669018,,7906689,2,1280
323730,669018,2483628,Well Spring Close,WS: Communal Bin,323730,669018,,7906689,1,1280
321910,676329,2483629,Macmillan Crescent,WS: Bottle Bank - Mixed,321910,676329,,7906360,2,660
321910,676329,2483630,Macmillan Crescent,WS: Food Waste Communal,321910,676329,,7906360,2,500
321910,676329,2483631,Macmillan Crescent,WS: Packaging,321910,676329,,7906360,5,1280
321910,676329,2483632,Macmillan Crescent,WS: Communal Bin,321910,676329,,7906360,7,1280
319728,670940,2483633,Weir Street,WS: Bottle Bank - Mixed,319728,670940,,7906223,1,660
319723,670940,2483634,Weir Street,WS: Food Waste Communal,319723,670940,,7906223,1,500
319723,670940,2483635,Weir Street,WS: Packaging,319723,670940,,7906223,3,1280
319723,670940,2483636,Weir Street,WS: Communal Bin,319723,670940,,7906223,5,1280
319728,670891,2483637,Weir Street,WS: Bottle Bank - Mixed,319728,670891,,7906223,1,360
319728,670891,2483638,Weir Street,WS: Food Waste Communal,319728,670891,,7906223,1,240
319728,670891,2483639,Weir Street,WS: Packaging,319728,670891,,7906223,2,1280
319728,670891,2483640,Weir Street,WS: Communal Bin,319728,670891,,7906223,2,1280
316366,666292,2483641,Bavelaw Road,WS: Food Waste Communal,316366,666292,,7900057,1,240
326698,676992,2483642,Geissler Drive,WS: Bottle Bank - Mixed,326698,676992,,7906334,1,660
326698,676992,2483643,Geissler Drive,WS: Food Waste Communal,326698,676992,,7906334,1,500
326698,676992,2483644,Geissler Drive,WS: Packaging,326698,676992,,7906334,3,1280
326698,676992,2483645,Geissler Drive,WS: Communal Bin,326698,676992,,7906334,5,1280
327943.55,674106.140000001,2483646,Meadowbank Crescent,WS: Communal Bin,327944,674106,,7901970,2,1100
327910.03,674099.68,2483647,Meadowbank Crescent,WS: Communal Bin,327910,674100,,7901970,2,1100
327441.2,676381.98,2483648,Cadiz Street,WS: Packaging,327441,676382,,7901088,2,1100
327481.54,676371.1,2483649,Elbe Street,WS: Communal Bin,327482,676371,,7901141,2,1100
327483.21,676370.91,2483650,Elbe Street,WS: Bottle Bank - Mixed,327483,676371,,7901141,1,500
327482.21,676370.43,2483651,Elbe Street,WS: Packaging,327482,676370,,7901141,2,1100
327909.87,674099.689999999,2483652,Meadowbank Crescent,WS: Food Waste Communal,327910,674100,,7901970,1,240
326130.95,676349.109999999,2483653,Ferry Road,WS: Food Waste Communal,326131,676349,,7901412,1,240
